Year,Player,School,Conf,G,Rushing.Avg,Rushing.TD,Receiving.Rec,Receiving.Avg,Receiving.TD,Scrimmage.Avg,Scrimmage.TD,Rushing.Yds.PG,Receiving.Yds.PG,Scrimmage.Yds.PG,Rushing.Att.PG,PPG.Off,SRS.SOS,Overall.Pct
1990,Rich Swinton,Washington State,Pac-10,11,4.4,4,4,6,0,4.5,4,29.818181818181817,2.1818181818181817,32,6.818181818181818,26,5.27,0.273
1990,Billy Smith,Central Michigan,MAC,11,4.3,3,11,6.5,0,4.4,3,95.18181818181819,6.545454545454546,101.72727272727273,22.181818181818183,23.6,-12.16,0.708
1990,Sean Burwell,Oregon,Pac-10,12,4.3,9,35,9.7,2,5.1,11,80.75,28.333333333333332,109.08333333333333,18.583333333333332,28.4,2.64,0.667
1990,Curtis Modkins,TCU,SWC,11,4.3,3,10,3.3,0,4.2,3,81.18181818181819,3,84.18181818181819,19,26.5,2.32,0.455
1990,Ricky Howell,Ohio,MAC,11,4.3,5,28,10,0,5.1,5,75.63636363636364,25.454545454545453,101.0909090909091,17.454545454545453,14.7,-11.6,0.136
1990,Darnell Rush,Central Michigan,MAC,11,4.3,5,11,6.1,1,4.4,6,55.54545454545455,6.090909090909091,61.63636363636363,13,23.6,-12.16,0.708
1990,Hunkie Cooper,UNLV,Big West,11,4.3,6,18,13.9,1,5.4,7,52.09090909090909,22.818181818181817,74.9090909090909,12.181818181818182,21.7,-9.32,0.364
1990,Leon Brown,Temple,Ind,11,4.3,3,4,2.5,0,4.2,3,52.09090909090909,0.9090909090909091,53,12.181818181818182,23.7,0.88,0.636
1990,Aaron Givens,New Mexico,WAC,12,4.3,4,6,2.8,0,4.2,4,45.5,1.4166666666666667,46.916666666666664,10.666666666666666,23.3,-1.69,0.167
1990,Larry Maxey,San Diego State,WAC,11,4.3,4,9,8,0,4.5,4,44.72727272727273,6.545454545454546,51.27272727272727,10.454545454545455,41.7,1.22,0.545
1990,Tony Brooks,Notre Dame,Ind,11,4.3,6,3,15.7,0,4.6,6,41,4.2727272727272725,45.27272727272727,9.545454545454545,29.9,9.23,0.75
1990,Sheldon Canley,San Jose State,Big West,12,4.2,12,31,12.5,2,5,14,104,32.166666666666664,136.16666666666666,24.666666666666668,36.3,-4.41,0.792
1990,Reggie Yarbrough,Cal State Fullerton,Big West,12,4.2,9,16,10.8,1,4.6,10,84.5,14.416666666666666,98.91666666666667,20.166666666666668,18.6,-6.53,0.083
1990,Bernie Parmalee,Ball State,MAC,11,4.2,5,30,6.2,1,4.4,6,91.81818181818181,16.818181818181817,108.63636363636364,21.818181818181817,18.5,-13.85,0.636
1990,Chance Miller,Tulane,Ind,10,4.2,4,6,7.8,0,4.3,4,80.5,4.7,85.2,19,21.5,-1.21,0.364
1990,Jamal Farmer,Hawaii,WAC,12,4.2,9,15,3.9,1,4.1,10,55.333333333333336,4.833333333333333,60.166666666666664,13.25,31.2,-4.27,0.583
1990,Tony Smith,Southern Mississippi,Ind,11,4.2,4,11,7.8,0,4.4,4,59.72727272727273,7.818181818181818,67.54545454545455,14.363636363636363,18.3,0.13,0.667
1990,Jason Pace,Navy,Ind,11,4.2,5,21,6.4,1,4.5,6,51.36363636363637,12.272727272727273,63.63636363636363,12.363636363636363,19,-5.37,0.455
1990,Cedric Van Buren,East Carolina,Ind,11,4.2,3,11,14.7,2,5.1,5,44.36363636363637,14.727272727272727,59.09090909090909,10.545454545454545,23.1,0.41,0.455
1990,Mark Brunell,Washington,Pac-10,11,4.2,10,1,11,1,4.3,11,40.36363636363637,1,41.36363636363637,9.545454545454545,36.7,6.87,0.833
1990,Stacy Danley,Auburn,SEC,12,4.2,2,4,5,0,4.2,2,35.833333333333336,1.6666666666666667,37.5,8.583333333333334,23.6,1.97,0.708
1990,Greg Manior,North Carolina State,ACC,11,4.2,1,4,7.5,0,4.3,1,36.90909090909091,2.727272727272727,39.63636363636363,8.818181818181818,24.8,3.34,0.583
1990,Gary Downs,North Carolina State,ACC,9,4.2,6,1,7,0,4.3,6,44.111111111111114,0.7777777777777778,44.888888888888886,10.444444444444445,24.8,3.34,0.583
1990,Aubrey Shaw,North Carolina State,ACC,11,4.2,6,34,8.5,1,5.4,7,35.90909090909091,26.181818181818183,62.09090909090909,8.454545454545455,24.8,3.34,0.583
1990,Ronnell Kayhill,Missouri,Big 8,11,4.2,8,3,6.3,0,4.2,8,35.54545454545455,1.7272727272727273,37.27272727272727,8.545454545454545,25.3,4.55,0.364
1990,Dwayne Owens,Oregon State,Pac-10,9,4.2,1,6,8.2,1,4.4,2,40.44444444444444,5.444444444444445,45.888888888888886,9.666666666666666,13.8,1.9,0.091
1990,Garrett Ford,West Virginia,Ind,10,4.2,4,5,5.2,0,4.3,4,33.5,2.6,36.1,7.9,19.7,-0.42,0.364
1990,Cecil Wilson,Oklahoma State,Big 8,11,4.2,3,7,7,0,4.4,3,28.09090909090909,4.454545454545454,32.54545454545455,6.7272727272727275,21.2,3.47,0.364
1990,Tony Sands,Kansas,Big 8,11,4.1,5,1,18,0,4.1,5,68.81818181818181,1.6363636363636365,70.45454545454545,16.90909090909091,19.4,7.52,0.318
1990,Stephen McGuire,Miami (FL),Ind,11,4.1,11,5,5.8,0,4.2,11,56.45454545454545,2.6363636363636362,59.09090909090909,13.636363636363637,37.3,7.9,0.833
1990,Keith Benton,Memphis,Ind,11,4.1,5,0,0,0,4.1,5,55.63636363636363,0,55.63636363636363,13.454545454545455,19.3,-1.93,0.409
1990,Larry Porter,Memphis,Ind,11,4.1,9,7,3.7,0,4.1,9,42.54545454545455,2.3636363636363638,44.90909090909091,10.363636363636363,19.3,-1.93,0.409
1990,George Johnson,Bowling Green State,MAC,10,4.1,4,9,5.4,0,4.2,4,42.7,4.9,47.6,10.4,13.8,-11.98,0.4
1990,Eric Blount,North Carolina,ACC,11,4.1,2,13,7.1,0,4.5,2,34.63636363636363,8.363636363636363,43,8.363636363636363,20.6,2.52,0.591
1990,Curtis Butts,San Diego State,WAC,11,4.1,13,1,-2,0,4,13,33.18181818181818,-0.18181818181818182,33,8.090909090909092,41.7,1.22,0.545
1990,Bob Christian,Northwestern,Big Ten,11,4,6,39,8.4,3,4.6,9,85.36363636363636,29.818181818181817,115.18181818181819,21.545454545454547,19.1,3.65,0.182
