Year.x,Player,School,Conf,G,Rushing.Avg,Rushing.TD,Receiving.Rec,Receiving.Avg,Receiving.TD,Scrimmage.Avg,Scrimmage.TD,Rushing.Yds.PG,Receiving.Yds.PG,Scrimmage.Yds.PG,Rushing.Att.PG,PPG.Off,SRS.SOS,Overall.Pct,NFL.Rushing.Avg,NFL.Rushing.Avg.Max
1991,Edgar Bennett,Florida State,Ind,12,4.1,4,29,11.9,3,5.9,7,32,28.75,60.75,7.833333333333333,34.5,4.59,0.846,3.925,4.7
1991,Chuck Levy,Arizona,Pac-10,10,3.9,7,19,15.2,3,5.4,10,50.5,28.9,79.4,12.8,22.5,7.84,0.364,5.033333333333333,5.6
1991,Chris Brown,Duke,ACC,11,3.9,0,38,7.9,3,5.1,3,29.09090909090909,27.454545454545453,56.54545454545455,7.545454545454546,21,0.23,0.409,4.05,4.9
1991,Corey Croom,Ball State,MAC,11,3.6,8,34,6.2,0,3.9,8,95.72727272727273,19.181818181818183,114.9090909090909,26.454545454545453,14.5,-7.89,0.545,3.75,4.2
1991,Marcus Wilson,Vanderbilt,SEC,8,3.6,11,0,0,0,3.6,11,62,0,62,17,18.6,2.01,0.455,2,3.5
1991,Jerone Davison,Arizona State,Pac-10,11,3.6,1,7,6.7,0,3.9,1,23.90909090909091,4.2727272727272725,28.181818181818183,6.636363636363637,19.8,5.49,0.545,2,2
1991,Anthony Lynn,Texas Tech,SWC,11,3.5,4,10,4.9,1,3.6,5,41.72727272727273,4.454545454545454,46.18181818181818,12.090909090909092,28.6,-1.66,0.545,4.433333333333334,6.8
1992,Reggie Brooks,Notre Dame,Ind,11,8,13,1,24,1,8.1,14,122.0909090909091,2.1818181818181817,124.27272727272727,15.181818181818182,36.4,4.71,0.875,2.525,4.8
1992,Lamar Smith,Houston,SWC,9,7.6,9,30,10.5,2,8.2,11,93.88888888888889,35,128.88888888888889,12.333333333333334,34.4,-0.47,0.364,3.67,6
1992,Tyrone Wheatley,Michigan,Big Ten,12,7.3,13,13,11.2,3,7.6,16,113.08333333333333,12.083333333333334,125.16666666666667,15.416666666666666,35.9,3.73,0.875,3.77,4.5
1992,Calvin Jones,Nebraska,Big 8,11,7.2,14,14,11.6,1,7.5,15,110,14.727272727272727,124.72727272727273,15.272727272727273,36.8,4.31,0.75,4,4.2
1992,Garrison Hearst,Georgia,SEC,11,6.8,19,22,14.7,2,7.5,21,140.63636363636363,29.454545454545453,170.0909090909091,20.727272727272727,31.1,0.42,0.833,4.29,5.1
1992,Terry Kirby,Virginia,ACC,8,6.5,6,28,8.6,2,6.8,8,141.25,30.125,171.375,21.875,31,0.93,0.636,4.01,5.4
1992,Napoleon Kaufman,Washington,Pac-10,11,6.5,6,13,3.6,0,6.2,6,95,4.2727272727272725,99.27272727272727,14.727272727272727,28.1,7.73,0.75,4.983333333333333,5.8
1992,Ron Rivers,Fresno State,WAC,13,6.5,9,9,10.1,1,6.7,10,77.46153846153847,7,84.46153846153847,11.846153846153847,39.2,-0.4,0.692,4.45,5.7
1992,Marshall Faulk,San Diego State,WAC,11,6.2,15,18,7.1,0,6.2,15,148.1818181818182,11.636363636363637,159.8181818181818,24.09090909090909,30.4,2.13,0.5,4.333333333333333,5.5
